"","a.key","a.AIC","a.CvonM_p","a.P_enc_medio","a.SE_P_enc_medio","a.Muestreo","b.Modelo","b.Región","b.D_est","b.SE","b.Lcl","b.Ucl","b.Group_Size_est","b.SE_grupo","b.N_est","b.LclN","b.UclN","b.Muestreo","a$Muestreo","Muestreo","dia1","mes1","anio","est","fecha","season"
"1",hn,1406.3655,0.6900597,0.5235584,0.06209880, 1,hn,ML,16.006334, 5.617626, 7.246838, 35.353727, 6.559322,0.9377650, 9843.895, 4456.805,21742.542, 1, 1, 1,16, 1,2007,"ver",2007-01-16,"Summer"
"2",unif, 360.4881,0.5423634,0.5600993,0.04628614, 2,unif,ML,31.347258,12.073576,10.169589, 96.626381,15.935484,4.8744423,19278.563, 6254.297,59425.224, 2, 2, 2,10, 4,2008,"oto",2008-04-10,"Autumn"
"3",unif,1071.8362,0.5528082,0.4351591,0.03947599, 3,unif,ML,27.789455,13.052258, 9.499455, 81.294534,15.797872,4.0827218,17090.515, 5842.165,49996.139, 3, 3, 3, 6, 4,2009,"oto",2009-04-06,"Autumn"
"4",unif, 767.2115,0.2736262,0.6181242,0.05471590, 4,unif,ML,14.746269, 3.914432, 8.032167, 27.072703,13.215385,2.4871611, 9068.956, 4939.782,16649.712, 4, 4, 4, 5, 8,2009,"inv",2009-08-05,"Winter"
"5",hn,1778.6353,0.8552350,0.3561655,0.02805453, 5,hn,ML,30.786522, 9.707596,14.809070, 64.001987, 6.643312,1.3859836,18933.711, 9107.578,39361.222, 5, 5, 5,10,12,2009,"ver",2009-12-10,"Summer"
"6",hr,1224.1710,0.9610093,0.2938784,0.04434056, 6,hr,ML,44.573683,14.854781,21.507236, 92.378826,11.327273,2.5085947,27412.815,13226.950,56812.978, 6, 6, 6, 9, 3,2010,"oto",2010-03-09,"Autumn"
"7",hr, 229.4693,0.5605841,0.2045056,0.05360415, 7,hr,ML,21.142070,14.205488, 4.601297, 97.143717,16.272727,5.7456334,13002.373, 2829.798,59743.386, 7, 7, 7,28, 6,2010,"inv",2010-06-28,"Winter"
"8",hn,1339.5243,0.4685995,0.3400847,0.02763280, 8,hn,ML,27.636218, 7.033094,15.390034, 49.626955, 7.512605,1.5670964,16996.274, 9464.871,30520.577, 8, 8, 8,11, 9,2010,"pri",2010-09-11,"Spring"
"9",unif,1829.1200,0.9163242,0.3852604,0.03307163, 9,unif,ML,30.289828,14.485153,10.147167, 90.416728, 6.981132,1.8037552,18628.244, 6240.508,55606.288, 9, 9, 9, 2,12,2010,"ver",2010-12-02,"Summer"
"10",hr,1036.2832,0.2479478,0.2936151,0.07271406,10,hr,ML,36.557414,18.971175,12.315109,108.520721,11.471910,2.7495805,22482.810, 7573.792,66740.243,10,10,10, 7, 3,2011,"oto",2011-03-07,"Autumn"
"11",unif, 487.6396,0.7342667,0.6644325,0.08483677,11,unif,ML,11.107335, 2.750343, 6.404200, 19.264370,15.609756,3.7665400, 6831.011, 3938.583,11847.588,11,11,11, 6, 6,2011,"inv",2011-06-06,"Winter"
"12",hn,1005.3589,0.7818680,0.8110134,0.08903024,12,hn,ML, 4.679585, 1.449990, 2.321974,  9.430988, 4.297619,0.8965739, 2877.945, 1428.014, 5800.058,12,12,12,11,12,2011,"ver",2011-12-11,"Summer"
"13",unif,1004.0089,0.6328944,0.7484652,0.08450314,13,unif,ML,13.161219, 5.049043, 5.505188, 31.464446,11.154762,2.5227523, 8094.150, 3385.691,19350.634,13,13,13, 3, 3,2012,"oto",2012-03-03,"Autumn"
"14",hn, 313.5562,0.1705919,0.9999988,0.24343406,14,hn,ML, 7.148873, 3.515569, 2.543777, 20.090752,26.153846,3.9708624, 4396.557, 1564.423,12355.812,14,14,14, 5, 6,2012,"inv",2012-06-05,"Winter"
"15",hn, 945.9639,0.7908810,0.8202447,0.09945144,15,hn,ML, 6.318757, 1.331119, 4.030659,  9.905748, 6.240506,1.0510083, 3886.036, 2478.855, 6092.035,15,15,15,15, 9,2012,"pri",2012-09-15,"Spring"
"16",hn,1014.7049,0.8749341,0.6267548,0.06135489,16,hn,ML,12.899023, 4.458257, 5.840534, 28.487943, 8.941860,2.4936375, 7932.899, 3591.929,17520.085,16,16,16,17,12,2012,"ver",2012-12-17,"Summer"
"17",unif,1381.0702,0.7303427,0.6287969,0.04221437,17,unif,ML, 9.981415, 2.951729, 4.998319, 19.932430, 5.102564,0.7996386, 6138.570, 3073.966,12258.445,17,17,17,17, 1,2014,"ver",2014-01-17,"Summer"
"18",hn, 941.5814,0.9599651,0.7300799,0.07944866,18,hn,ML,12.715062, 4.716477, 5.463188, 29.593125,11.177215,1.8191766, 7819.763, 3359.860,18199.772,18,18,18,26, 7,2014,"inv",2014-07-26,"Winter"
"19",hr,1015.7340,0.3392209,0.6933689,0.07032694,19,hr,ML, 9.491571, 3.955170, 3.661580, 24.604115, 7.279070,1.6936317, 5837.316, 2251.871,15131.531,19,19,19,21,12,2014,"ver",2014-12-21,"Summer"
"20",hn,1455.9637,0.8763112,0.6594784,0.05687122,21,hn,ML,24.056378, 6.027172,14.481795, 39.961161,13.723577,2.4389181,14794.673, 8906.304,24576.114,21,21,21,10, 9,2015,"pri",2015-09-10,"Spring"
"21",unif, 692.3590,0.8811165,0.5243416,0.02695174,22,unif,ML,14.733837, 4.409950, 8.015696, 27.082609, 6.850000,1.5047165, 9061.310, 4929.653,16655.805,22,22,22,13,12,2015,"ver",2015-12-13,"Summer"
"22",unif,1508.2239,0.5135910,0.4586721,0.03882450,23,unif,ML,38.542941, 7.232953,26.375800, 56.322776,14.358779,2.0901248,23703.909,16221.117,34638.507,23,23,23,28, 3,2016,"oto",2016-03-28,"Autumn"
"23",unif,1486.5730,0.6117663,0.5493737,0.05992458,24,unif,ML,22.586491, 5.643181,13.666931, 37.327294,10.753968,2.2098315,13890.692, 8405.163,22956.286,24,24,24,28, 9,2016,"pri",2016-09-28,"Spring"
"24",hn,2518.1634,0.5455672,0.4588891,0.03977476,25,hn,ML,32.073208, 7.362193,20.149469, 51.052991, 7.250000,0.8015834,19725.023,12391.923,31397.590,25,25,25, 8, 1,2017,"ver",2017-01-08,"Summer"
"25",hn,2036.8877,0.6248070,0.6181741,0.04204196,26,hn,ML,25.554686, 7.360256,14.239269, 45.862041, 9.277457,1.5403413,15716.132, 8757.151,28205.155,26,26,26, 1, 4,2017,"oto",2017-04-01,"Autumn"
"26",unif,1306.2380,0.4116668,0.5719814,0.02988878,27,unif,ML,25.140151, 8.014741,13.166492, 48.002703,13.660714,3.2270896,15461.193, 8097.393,29521.663,27,27,27,28, 3,2018,"oto",2018-03-28,"Autumn"
"27",hr,2056.4526,0.1480860,0.6015175,0.04155663,28,hr,ML,20.530781, 6.393104,10.926778, 38.576144, 7.423729,0.9897535,12626.430, 6719.969,23724.329,28,28,28,24, 9,2018,"pri",2018-09-24,"Spring"
"28",hn,2302.1954,0.4422049,0.6020733,0.03907353,29,hn,ML,14.330180, 3.784540, 8.370874, 24.531975, 4.683673,0.5645042, 8813.061, 5148.087,15087.165,29,29,29,13,12,2018,"ver",2018-12-13,"Summer"
"29",hn,2098.8288,0.6137870,0.6296212,0.04362793,30,hn,ML,23.958194, 5.960482,14.439153, 39.752681, 9.016854,1.6108683,14734.289, 8880.079,24447.899,30,30,30,25, 3,2019,"oto",2019-03-25,"Autumn"
"30",hr,2210.3262,0.7108981,0.8805185,0.04222817,31,hr,ML, 9.905305, 2.724279, 5.651609, 17.360554, 5.016216,0.6277168, 6091.763, 3475.740,10676.741,31,31,31,24, 9,2019,"pri",2019-09-24,"Spring"
"31",unif,2652.2591,0.7396251,0.5897694,0.02572919,32,unif,ML,19.234612, 4.487680,11.924170, 31.026924, 5.340708,0.6424376,11829.287, 7333.365,19081.558,32,32,32,17,12,2019,"ver",2019-12-17,"Summer"
"32",unif,1799.3083,0.5975897,0.6046500,0.03315279,33,unif,ML,25.289594, 5.696125,15.954542, 40.086613,10.633987,2.3476475,15553.100, 9812.043,24653.267,33,33,33, 1, 4,2020,"oto",2020-04-01,"Autumn"
"33",unif,1768.9365,0.5693917,0.5590674,0.02447023,34,unif,ML,17.573539, 4.274937,10.678888, 28.919609, 6.861842,1.2994562,10807.727, 6567.516,17785.560,34,34,34,15, 1,2021,"ver",2021-01-15,"Summer"
"34",unif,1668.6812,0.8090730,0.5640836,0.02702307,35,unif,ML,24.092573, 4.264181,16.757045, 34.639286,10.111888,1.6973080,14816.932,10305.582,21303.161,35,35,35,26, 3,2021,"oto",2021-03-26,"Autumn"
"35",unif,2076.8094,0.4486067,0.6666031,0.07009782,36,unif,ML,17.666159, 4.954554,10.044843, 31.069991, 7.079096,1.1283111,10864.688, 6177.578,19108.045,36,36,36,22, 9,2021,"pri",2021-09-22,"Spring"
"36",unif,2440.1329,0.5756043,0.5022236,0.03551403,37,unif,ML,30.840293, 6.959010,19.481001, 48.823144, 7.847619,1.3631675,18966.780,11980.815,30026.234,37,37,37,22, 1,2022,"ver",2022-01-22,"Summer"
"37",unif,2291.4902,0.8509164,0.6622907,0.06891723,38,unif,ML,19.796294, 4.228754,12.887169, 30.409571, 7.153846,1.0556127,12174.721, 7925.609,18701.886,38,38,38,31, 3,2022,"oto",2022-03-31,"Autumn"
"38",hn,3847.5381,0.9262970,0.5955459,0.02797531,39,hn,ML,33.172318, 6.327096,22.428825, 49.061986, 6.408537,0.9919578,20400.976,13793.727,30173.122,39,39,39,26,12,2022,"ver",2022-12-26,"Summer"
"39",hn,1398.6590,0.9817361,0.7958924,0.07493109,40,hn,ML,22.236700, 3.964085,15.541612, 31.815930,14.666667,1.9336783,13675.571, 9558.091,19566.797,40,40,40,27, 3,2023,"oto",2023-03-27,"Autumn"
"40",unif,1509.6701,0.8336489,0.6819513,0.05295597,41,unif,ML,11.962929, 2.204198, 8.201320, 17.449834, 5.622047,0.9122571, 7357.201, 5043.812,10731.648,41,41,41,18,10,2023,"pri",2023-10-18,"Spring"
